Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Performance_Level
0.5116279069767441,0.6000000000000001,0,2,0,0.4999999999999999,0.45999999999999996,0,1,0,0,1,1,2,3,0,0,0,0,Medium
0.4186046511627907,0.10000000000000009,0,1,0,0.6666666666666666,0.17999999999999994,0,1,2,1,1,1,0,4,0,1,1,1,Low
0.5348837209302325,0.9500000000000002,1,1,1,0.4999999999999999,0.8200000000000001,1,1,2,1,1,1,1,4,0,2,0,0,High
0.6511627906976744,0.7250000000000001,0,1,1,0.6666666666666666,0.96,1,1,1,1,1,1,0,4,0,0,1,0,High
0.4186046511627907,0.8000000000000003,1,1,1,0.33333333333333337,0.30000000000000004,1,1,3,1,2,1,1,4,0,1,0,1,High
0.4186046511627907,0.7000000000000002,1,1,1,0.6666666666666666,0.78,1,1,3,1,1,1,2,3,0,2,0,0,High
0.6511627906976744,0.6000000000000001,1,0,1,0.4999999999999999,0.3600000000000001,0,1,1,0,1,0,1,2,0,0,1,0,Medium
0.5581395348837209,0.4500000000000002,0,2,1,0.33333333333333337,0.0,1,1,1,2,2,1,0,2,0,0,2,0,Medium
0.37209302325581395,0.8500000000000001,1,2,0,0.33333333333333337,0.6000000000000001,2,1,0,1,0,0,1,1,0,1,0,0,Medium
0.5116279069767441,0.9500000000000002,1,1,1,0.6666666666666666,0.41999999999999993,1,1,0,2,2,1,2,5,0,0,1,0,High
0.37209302325581395,0.5,0,2,0,0.6666666666666666,0.76,1,0,4,1,2,0,1,4,0,1,1,0,Medium
0.37209302325581395,0.9250000000000003,1,2,1,0.33333333333333337,0.74,0,1,2,0,2,0,1,2,0,0,0,0,High
0.46511627906976744,0.5750000000000002,1,1,1,0.6666666666666666,0.94,0,1,2,1,1,1,2,4,0,0,0,0,High
